27/06/2026 22:53:13 | INFO     | test_all.py | test_get_user | ---CONSULTANDO LISTA DE USUARIOS---
27/06/2026 22:53:14 | INFO     | test_all.py | test_get_user | Status Code: 200
27/06/2026 22:53:14 | INFO     | test_all.py | test_get_user | Response: {'page': 1, 'per_page': 6, 'total': 12, 'total_pages': 2, 'data': [{'id': 1, 'email': 'george.bluth@reqres.in', 'first_name': 'George', 'last_name': 'Bluth', 'avatar': 'https://reqres.in/img/faces/1-image.jpg'}, {'id': 2, 'email': 'janet.weaver@reqres.in', 'first_name': 'Janet', 'last_name': 'Weaver', 'avatar': 'https://reqres.in/img/faces/2-image.jpg'}, {'id': 3, 'email': 'emma.wong@reqres.in', 'first_name': 'Emma', 'last_name': 'Wong', 'avatar': 'https://reqres.in/img/faces/3-image.jpg'}, {'id': 4, 'email': 'eve.holt@reqres.in', 'first_name': 'Eve', 'last_name': 'Holt', 'avatar': 'https://reqres.in/img/faces/4-image.jpg'}, {'id': 5, 'email': 'charles.morris@reqres.in', 'first_name': 'Charles', 'last_name': 'Morris', 'avatar': 'https://reqres.in/img/faces/5-image.jpg'}, {'id': 6, 'email': 'tracey.ramos@reqres.in', 'first_name': 'Tracey', 'last_name': 'Ramos', 'avatar': 'https://reqres.in/img/faces/6-image.jpg'}], 'support': {'url': 'https://benhowdle.im/first-cto-playbook?utm_source=reqres&utm_medium=json&utm_campaign=referral', 'text': 'Become a better CTO. A playbook of painful stories and practical advice from a two-time startup CTO.'}, '_meta': {'powered_by': 'ReqRes', 'docs_url': 'https://app.reqres.in/documentation', 'upgrade_url': 'https://app.reqres.in/upgrade', 'example_url': 'https://app.reqres.in/examples/notes-app', 'variant': 'v1_a', 'message': 'Your data persists here. Add auth, logs, and custom schemas to build a real backend.', 'cta': {'label': 'See example app', 'url': 'https://app.reqres.in/examples/notes-app'}, 'context': 'legacy_success'}}
27/06/2026 22:53:14 | INFO     | test_all.py | test_login_user | ---LOGIN EXITOSO---
27/06/2026 22:53:15 | INFO     | test_all.py | test_login_user | Status Code: 200
27/06/2026 22:53:15 | INFO     | test_all.py | test_login_user | Response: {'token': 'QpwL5tke4Pnpja7X4', '_meta': {'powered_by': 'ReqRes', 'docs_url': 'https://app.reqres.in/documentation', 'upgrade_url': 'https://app.reqres.in/upgrade', 'example_url': 'https://app.reqres.in/examples/notes-app', 'variant': 'v1_a', 'message': 'Your data persists here. Add auth, logs, and custom schemas to build a real backend.', 'cta': {'label': 'See example app', 'url': 'https://app.reqres.in/examples/notes-app'}, 'context': 'legacy_success'}}
27/06/2026 22:55:44 | INFO     | test_all.py | test_get_user | ---CONSULTANDO LISTA DE USUARIOS---
27/06/2026 22:55:45 | INFO     | test_all.py | test_get_user | Status Code: 200
27/06/2026 22:55:45 | INFO     | test_all.py | test_get_user | Response: {'page': 1, 'per_page': 6, 'total': 12, 'total_pages': 2, 'data': [{'id': 1, 'email': 'george.bluth@reqres.in', 'first_name': 'George', 'last_name': 'Bluth', 'avatar': 'https://reqres.in/img/faces/1-image.jpg'}, {'id': 2, 'email': 'janet.weaver@reqres.in', 'first_name': 'Janet', 'last_name': 'Weaver', 'avatar': 'https://reqres.in/img/faces/2-image.jpg'}, {'id': 3, 'email': 'emma.wong@reqres.in', 'first_name': 'Emma', 'last_name': 'Wong', 'avatar': 'https://reqres.in/img/faces/3-image.jpg'}, {'id': 4, 'email': 'eve.holt@reqres.in', 'first_name': 'Eve', 'last_name': 'Holt', 'avatar': 'https://reqres.in/img/faces/4-image.jpg'}, {'id': 5, 'email': 'charles.morris@reqres.in', 'first_name': 'Charles', 'last_name': 'Morris', 'avatar': 'https://reqres.in/img/faces/5-image.jpg'}, {'id': 6, 'email': 'tracey.ramos@reqres.in', 'first_name': 'Tracey', 'last_name': 'Ramos', 'avatar': 'https://reqres.in/img/faces/6-image.jpg'}], 'support': {'url': 'https://benhowdle.im/first-cto-playbook?utm_source=reqres&utm_medium=json&utm_campaign=referral', 'text': 'Become a better CTO. A playbook of painful stories and practical advice from a two-time startup CTO.'}, '_meta': {'powered_by': 'ReqRes', 'docs_url': 'https://app.reqres.in/documentation', 'upgrade_url': 'https://app.reqres.in/upgrade', 'example_url': 'https://app.reqres.in/examples/notes-app', 'variant': 'v1_a', 'message': 'Your data persists here. Add auth, logs, and custom schemas to build a real backend.', 'cta': {'label': 'See example app', 'url': 'https://app.reqres.in/examples/notes-app'}, 'context': 'legacy_success'}}
27/06/2026 22:55:45 | INFO     | test_all.py | test_login_user | ---LOGIN EXITOSO---
27/06/2026 22:55:45 | INFO     | test_all.py | test_login_user | Status Code: 200
